"query","search interest","increase percent"
"телеграм не работает даже с впн",0,"Breakout"
"vpn бесплатно впн быстрый ⓡ",0,"Breakout"
"батя впн ключ",2,"3,200%"
"впн для телеграмма бесплатно",1,"2,750%"
"ключ доступа батя впн",1,"2,050%"
"сота впн",1,"1,950%"
"впн для телеграмма",5,"1,800%"
"батя впн",3,"1,450%"
"прокси для тг",2,"1,150%"
"огонь впн скачать",2,"1,150%"
"впн огонь",3,"1,050%"
"огонь впн",3,"1,000%"
".ne",0,"600%"
"хит впн не работает",1,"500%"
"happ vpn",2,"200%"
"телеграмм",5,"200%"
"впн телеграм",14,"200%"
"впн для тг",5,"200%"
"конфигурация впн",2,"190%"
"телеграм",13,"190%"
"телеграм впн",13,"190%"
"ключ доступа впн дядя ваня",1,"180%"
"тг",14,"180%"
"впн тг",13,"170%"
"прокси",11,"170%"
"ключ доступа впн",4,"150%"
"щука впн",1,"150%"
"телеграм веб",1,"140%"
"ключ для впн дядя ваня",1,"130%"
"тг веб",1,"130%"
"хит впн",7,"130%"
"ключ для впн",6,"120%"
"телеграмм веб",0,"120%"
"рабочий впн на айфон",1,"120%"
"лучший бесплатный vpn для iphone",0,"120%"
"какой впн сейчас работает",1,"110%"
"дурев впн",1,"110%"
"vpn для айфона",1,"110%"
"ключи для впн",2,"110%"
"впн для бравл старс",2,"110%"
"бланк впн",1,"110%"
"дядя ваня впн ключ",3,"100%"
"впн для айфона",7,"90%"
"впн для айфона бесплатно",1,"80%"
"блокировка впн",1,"80%"
"hitvpn",1,"80%"
"дядя ваня впн",11,"70%"
"впн дядя ваня",11,"70%"
"ваня впн",12,"70%"
"бесплатный впн на айфон",3,"60%"
