"query","search interest","increase percent"
"programmatic advertising",100,"20%"
"what is programmatic",71,"50%"
"programmatic media",32,"30%"
"programmatic news",26,"1,000%"
"programmatic access",25,"110%"
"programmatic ad",25,"10%"
"programmatic marketing",25,"10%"
"programmatic platforms",24,"250%"
"programmatic video",20,"110%"
"programmatic ads",20,"-20%"
"programmatic seo",20,"80%"
"what is programmatic advertising",19,"40%"
"programmatic platform",18,"160%"
"programmatic advertising company",18,"550%"
"programmatic definition",17,"60%"
"programmatic meaning",17,"20%"
"programmatic buy",16,"350%"
"programmatic buying",16,"30%"
"programmatic display",15,"-8%"
"programmatic agency",13,"60%"
"programmatic music",13,"7%"
"programmatic digital advertising",12,"70%"
"programmatic advertising platforms",12,"200%"
"programmatic dsp",11,"50%"
"programmatic advertising services",11,"250%"
"dsp programmatic",11,"40%"
"dsp",11,"40%"
"programmatic job advertising",11,"350%"
"programmatic jobs",10,"50%"
"definition of programmatic",10,"170%"
"linkedin",8,"90%"
"programmatic advertising platform",8,"200%"
"programmatic advertising companies",8,"200%"
"programmatic audio",7,"150%"
"programmatic dooh",7,"200%"
"programmatic media buying",7,"40%"
"what is programmatic media",7,"10%"
"best programmatic advertising platforms",7,"650%"
"programmatic video advertising",7,"180%"
"programmatic campaign",7,"6%"
"what is programmatic marketing",6,"20%"
"premium programmatic",6,"450%"
"programmatic advertising definition",6,"170%"
"programmatic advertising solutions",5,"800%"
"programmatic tv advertising",5,"170%"
"programmatic advertising meaning",5,"70%"
"what is programmatic seo",5,"300%"
"native programmatic",5,"60%"
"programmatic display advertising",5,"2%"
"programmatic advertising agency",5,"70%"
