"query","search interest","increase percent"
"скачать впн",100,"-10%"
"впн скачать",96,"-20%"
"vpn",41,"-5%"
"впн бесплатно",35,"-10%"
"впн для пк",24,"-30%"
"впн не работает",23,"20%"
"впн на пк",23,"-30%"
"не работает впн",22,"20%"
"впн скачать бесплатно",21,"-20%"
"впн бесплатный",21,"1%"
"скачать впн бесплатно",20,"-20%"
"скачать бесплатно впн",20,"-20%"
"бесплатный впн",20,"0%"
"впн бесплатно скачать",20,"-20%"
"впн на айфон",18,"40%"
"тг",14,"180%"
"впн телеграм",14,"200%"
"vpn скачать",13,"-20%"
"впн тг",13,"170%"
"скачать vpn",13,"-20%"
"телеграм",13,"190%"
"телеграм впн",13,"190%"
"впн на андроид",13,"7%"
"ютуб",12,"-40%"
"ваня впн",12,"70%"
"впн скачать на пк",11,"-30%"
"прокси",11,"170%"
"скачать впн на пк",11,"-40%"
"дядя ваня впн",11,"70%"
"впн дядя ваня",11,"70%"
"лучший впн",10,"4%"
"впн это",8,"50%"
"почему впн не работает",7,"20%"
"скачать впн для пк",7,"-40%"
"почему не работает впн",7,"20%"
"впн для айфона",7,"90%"
"хит впн",7,"130%"
"впн расширение",6,"-40%"
"амнезия впн",6,"30%"
"расширение впн",6,"-40%"
"скачать впн на андроид",6,"0%"
"ключ для впн",6,"120%"
"впн для ютуба",6,"-40%"
"хороший впн",5,"30%"
"радмин впн",5,"-30%"
"впн для тг",5,"200%"
"впн для телеграмма",5,"1,800%"
"какой впн работает",5,"20%"
"роблокс",5,"-50%"
"впн онлайн",5,"-20%"
